"Step","alpha: 1.0 - val/multiplication_equation_acc","alpha: 1.0 - val/multiplication_equation_acc__MIN","alpha: 1.0 - val/multiplication_equation_acc__MAX","alpha: 0.9 - val/multiplication_equation_acc","alpha: 0.9 - val/multiplication_equation_acc__MIN","alpha: 0.9 - val/multiplication_equation_acc__MAX","alpha: 0.6 - val/multiplication_equation_acc","alpha: 0.6 - val/multiplication_equation_acc__MIN","alpha: 0.6 - val/multiplication_equation_acc__MAX","alpha: 0.3 - val/multiplication_equation_acc","alpha: 0.3 - val/multiplication_equation_acc__MIN","alpha: 0.3 - val/multiplication_equation_acc__MAX","alpha: 0.1 - val/multiplication_equation_acc","alpha: 0.1 - val/multiplication_equation_acc__MIN","alpha: 0.1 - val/multiplication_equation_acc__MAX"
"492","0.784","0.19","1","0.7619999999999999","0.08","1","0.792","0.11","1","0.807","0.08","1","0.8109999999999999","0.07","1"
"498","0.78","0.18","1","0.7689999999999999","0.08","1","0.7950000000000002","0.09","1","0.819","0.08","1","0.8030000000000002","0.06","1"
"504","0.784","0.19","1","0.768","0.08","1","0.7859999999999999","0.09","1","0.82","0.07","1","0.8019999999999999","0.06","1"
"510","0.784","0.17","1","0.7689999999999999","0.08","1","0.7889999999999999","0.11","1","0.827","0.08","1","0.8130000000000001","0.05","1"
"516","0.782","0.17","1","0.774","0.08","1","0.795","0.1","1","0.826","0.08","1","0.813","0.06","1"
"522","0.7869999999999999","0.18","1","0.771","0.08","1","0.799","0.1","1","0.829","0.08","1","0.8089999999999999","0.06","1"
"528","0.78","0.16","1","0.775","0.08","1","0.8","0.1","1","0.825","0.07","1","0.817","0.07","1"
"534","0.7909999999999999","0.17","1","0.78","0.08","1","0.799","0.1","1","0.8300000000000001","0.08","1","0.8220000000000001","0.06","1"
"540","0.783","0.16","1","0.773","0.08","1","0.7929999999999999","0.1","1","0.8380000000000001","0.08","1","0.8300000000000001","0.07","1"
"546","0.7870000000000001","0.17","1","0.7809999999999999","0.08","1","0.8019999999999999","0.11","1","0.8360000000000001","0.07","1","0.827","0.07","1"
"552","0.775","0.16","0.99","0.781","0.08","1","0.8","0.1","1","0.8239999999999998","0.07","1","0.8149999999999998","0.07","1"
"558","0.772","0.16","0.99","0.78","0.08","1","0.798","0.11","1","0.82","0.08","1","0.796","0.06","1"
"564","0.783","0.16","1","0.784","0.08","1","0.798","0.11","1","0.8239999999999998","0.07","1","0.821","0.07","1"
"570","0.7799999999999999","0.16","1","0.783","0.08","1","0.8029999999999999","0.12","1","0.819","0.08","0.99","0.8210000000000001","0.07","1"
"576","0.782","0.16","1","0.779","0.08","1","0.8019999999999999","0.1","1","0.817","0.08","0.98","0.819","0.08","1"
"582","0.783","0.17","0.99","0.7819999999999999","0.08","1","0.8039999999999999","0.11","1","0.826","0.08","0.99","0.812","0.09","1"
"588","0.792","0.16","1","0.7849999999999999","0.08","1","0.8009999999999999","0.1","1","0.825","0.08","1","0.8130000000000001","0.09","1"
"594","0.7869999999999999","0.18","1","0.7809999999999999","0.08","1","0.8009999999999999","0.11","1","0.825","0.07","1","0.8169999999999998","0.09","1"
"600","0.7889999999999999","0.18","1","0.776","0.08","0.99","0.799","0.11","1","0.8300000000000001","0.08","1","0.812","0.09","1"
